fid,geoid,name,namelsad,state,whp,tot_pop,tot_hh,egress_dem,maj_roads,pc_75p,pc_disab,pc_lep,old_egressd,cog_id,concatname,result,cog_name,entity,wea_aa,wea_recent,wa_yr_rec,wea_alerts,pc_hisp,pc_min,pc_black,pc_aian,pc_asian,pc_hpi,pc_oth,pc_biracia,rankall,t_pop_est,t_househol,pc_snap,t_mhi,pc_bpovlev,pc_mhh_park,units_150,units_cons,units_gen,rank,insubset,geoidn,indigenous,aiannhce,aiannhns,affgeoid,name_12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,400730,Aguila,Aguila CDP,AZ,1.038328,1240,213,43,5,1.94,4.5,54.34,42.6,200097,04-Maricopa,4013,Maricopa County Department of Emergency Management,County,TRUE,1/0/1900,0,0,95,11.209677,0,0,0,0,9.19,2.02,670,1240,195,24,27614,58.5,12.30769231,24,24,24,4443,FALSE,400730,FALSE,0,0,,
1613,400870,Ajo,Ajo CDP,AZ,1.092768,3509,1759,440,4,14.99,20.1,1.44,439.8,200998,04-Pima,4019,Pima County Office of Emergency Management,County,TRUE,1/0/1900,0,0,43,26.075805,0,16.443431,1.85,0,4.62,3.16,858,3509,1447,16,33178,32.8,8.362128542,121,121,121,4247,FALSE,400870,FALSE,0,0,,
1614,400940,Ak Chin,Ak Chin CDP,AZ,1.479508,33,11,11,1,0,12.1,0,11,200998,04-Pima,4019,Pima County Office of Emergency Management,County,TRUE,1/0/1900,0,0,0,100,0,100,0,0,0,0,1512,33,10,0,0,12.1,0,0,0,0,3607,FALSE,400940,TRUE,4200,23763,2500000US4200,Tohono O'odham Nation
1615,401090,Ak-Chin Village,Ak-Chin Village CDP,AZ,2.452459,1080,318,53,6,1.76,11.5,0.92,63.6,201047,04-Pinal,4021,Pinal County Office of Emergency Management,County,TRUE,1/0/1900,0,0,12,97.314815,0.28,89.351852,0,0,0.65,7.04,3094,1077,318,27,21389,40.5,0,0,0,0,2019,FALSE,401090,TRUE,2130,23997,2500000US2130,Maricopa (Ak Chin)
1616,401170,Alamo Lake,Alamo Lake CDP,AZ,1.474903,3,17,17,1,0,100,0,17,<Null>,<Null>,<Null>,<Null>,<Null>,FALSE,1/0/1900,0,0,0,0,0,0,0,0,0,0,1494,3,2,0,0,66.7,0,0,0,0,3617,FALSE,401170,FALSE,0,0,,
1617,401560,Ali Chuk,Ali Chuk CDP,AZ,1.054237,120,38,38,1,0,24.2,0,38,200998,04-Pima,4019,Pima County Office of Emergency Management,County,TRUE,1/0/1900,0,0,23,100,0,95,0,0,0,5,724,120,37,65,0,49.2,0,0,0,0,4370,FALSE,401560,TRUE,4200,23763,2500000US4200,Tohono O'odham Nation
1618,401570,Ali Chukson,Ali Chukson CDP,AZ,1.997561,107,29,29,1,0,15,0,29,200998,04-Pima,4019,Pima County Office of Emergency Management,County,TRUE,1/0/1900,0,0,0,100,0,100,0,0,0,0,2427,107,25,32,0,15.9,0,0,0,0,2697,FALSE,401570,TRUE,4200,23763,2500000US4200,Tohono O'odham Nation
1619,401620,Ali Molina,Ali Molina CDP,AZ,1.971831,63,22,22,1,6.35,28.6,0,22,200998,04-Pima,4019,Pima County Office of Emergency Management,County,TRUE,1/0/1900,0,0,0,100,0,100,0,0,0,0,2378,63,22,0,0,6.3,0,0,0,0,2740,FALSE,401620,TRUE,4200,23763,2500000US4200,Tohono O'odham Nation
1620,401920,Alpine,Alpine CDP,AZ,2.883019,86,165,55,3,3.49,18.6,0,55,201046,04-Apache,4001,Apache County Sheriff's Office,County,TRUE,1/0/1900,0,0,36,0,0,0,0,0,0,0,3659,86,57,5,0,27.9,0,0,0,0,1458,FALSE,401920,FALSE,0,0,,
1621,401990,Amado,Amado CDP,AZ,3.076389,104,107,15,7,0,0,0,17.8,200989,04-Santa Cruz,4023,Santa Cruz County,County,TRUE,1/0/1900,0,0,41,0,0,0,0,0,0,0,3916,104,56,0,0,0,0,0,0,0,1211,TRUE,401990,FALSE,0,0,,
1622,402270,Anegam,Anegam CDP,AZ,1.263889,86,27,14,2,3.49,24.4,0,27,200998,04-Pima,4019,Pima County Office of Emergency Management,County,TRUE,1/0/1900,0,0,0,94.186047,0,94.186047,0,0,0,0,1187,86,27,0,0,45.3,0,0,0,0,3927,FALSE,402270,TRUE,4200,23763,2500000US4200,Tohono O'odham Nation
1623,402410,Antares,Antares CDP,AZ,2.045268,147,68,34,2,18.37,24.5,0,68,200992,04-Mohave,4015,Mohave County,County,TRUE,1/0/1900,0,0,5,3.401361,0,3.401361,0,0,0,0,2510,145,62,26,40833,32.4,0,0,0,0,2617,FALSE,402410,FALSE,0,0,,
1624,402430,Anthem,Anthem CDP,AZ,2.306028,22980,8733,728,12,4.32,9.1,0.28,727.8,200097,04-Maricopa,4013,Maricopa County Department of Emergency Management,County,TRUE,1/0/1900,0,0,7,6.701479,1.11,0.387293,2.28,0.18,1.11,1.62,2922,22940,8065,4,94350,4.4,0,0,0,0,2204,FALSE,402430,FALSE,0,0,,
1582,402830,Apache Junction,Apache Junction city,AZ,2.838295,38383,21496,1075,20,13.35,22.9,1.95,1074.8,201047,04-Pinal,4021,Pinal County Office of Emergency Management,County,TRUE,1/0/1900,0,0,15,8.959696,1.2,1.797671,1.18,0,1.67,3.11,3600,38201,16550,14,39119,20.4,21.01510574,4213,3478,4828,1523,FALSE,402830,FALSE,0,0,,
1625,403320,Arivaca,Arivaca CDP,AZ,1.492199,612,382,127,3,25,29.6,1.28,127.3,200998,04-Pima,4019,Pima County Office of Emergency Management,County,TRUE,1/0/1900,0,0,5,4.084967,0,4.084967,0,0,0,0,1532,612,348,18,27143,21.7,0,0,0,0,3586,FALSE,403320,FALSE,0,0,,
1626,403380,Arivaca Junction,Arivaca Junction CDP,AZ,4.580866,1187,375,54,7,5.98,18.2,6.57,62.5,200998,04-Pima,4019,Pima County Office of Emergency Management,County,TRUE,1/0/1900,0,0,67,16.175232,0,0,0,0,16.18,0,5049,1187,371,19,39844,24.9,0,0,0,0,77,TRUE,403380,FALSE,0,0,,
1627,403530,Arizona City,Arizona City CDP,AZ,2.56974,11025,4622,1156,4,5.88,16.6,2.27,2311,201047,04-Pinal,4021,Pinal County Office of Emergency Management,County,TRUE,1/0/1900,0,0,41,15.365079,2.13,5.324263,0.28,0,4.09,3.54,3272,11025,4296,14,42853,20.4,3.398510242,146,146,146,1852,FALSE,403530,FALSE,0,0,,
1628,403915,Arizona Village,Arizona Village CDP,AZ,1.666667,1129,552,184,3,7.53,18.6,0,184,200992,04-Mohave,4015,Mohave County,County,TRUE,1/0/1900,0,0,19,42.781222,0.35,36.049601,0,0,0.44,5.93,1827,1125,433,30,29438,34.8,23.3256351,150,101,191,3294,FALSE,403915,TRUE,1235,24003,2500000US1235,Fort Mojave
